	title	avg_rating	count_rating	score	genres
412	Shawshank Redemption, The (1994)	4.454545454545454	308	4.3586503293034395	Crime Drama
434	Godfather, The (1972)	4.392857142857143	210	4.263534296417214	Crime Drama
482	Usual Suspects, The (1995)	4.328947368421052	228	4.2151405520080845	Crime Mystery Thriller
501	Schindler's List (1993)	4.296370967741935	248	4.193884833912254	Drama War
516	Matrix, The (1999)	4.264367816091954	261	4.169337621181977	Action Sci-Fi Thriller
514	Fargo (1996)	4.2711442786069655	201	4.150135219725865	Comedy Crime Drama Thriller
492	Monty Python and the Holy Grail (1975)	4.3019480519480515	154	4.144863461776789	Adventure Comedy Fantasy
616	Star Wars: Episode V - The Empire Strikes Back (1980)	4.228070175438597	228	4.124231461098994	Action Adventure Sci-Fi
650	Silence of the Lambs, The (1991)	4.194827586206896	290	4.1140652687557	Crime Horror Thriller
513	One Flew Over the Cuckoo's Nest (1975)	4.2727272727272725	143	4.109705712250269	Drama
633	Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	4.212053571428571	224	4.108154858064439	Action Adventure
657	Star Wars: Episode IV - A New Hope (1977)	4.188644688644689	273	4.103793824355857	Action Adventure Sci-Fi
432	Citizen Kane (1941)	4.396103896103896	77	4.097358428020052	Drama Mystery
521	Godfather: Part II, The (1974)	4.260714285714286	140	4.0965488464123965	Crime Drama
522	Goodfellas (1990)	4.2592592592592595	135	4.090190997862783	Crime Drama
740	Pulp Fiction (1994)	4.16	325	4.089801599022987	Comedy Crime Drama Thriller
658	Fight Club (1999)	4.188405797101449	207	4.079442067491575	Action Crime Drama Thriller
766	Forrest Gump (1994)	4.138263665594855	311	4.0667576180298965	Comedy Drama Romance War
612	Casablanca (1942)	4.236	125	4.059537064386969	Drama Romance
743	American Beauty (1999)	4.157407407407407	216	4.055728463311391	Drama Romance
481	Rear Window (1954)	4.331081081081081	74	4.039702622808539	Mystery Thriller
738	Princess Bride, The (1987)	4.16374269005848	171	4.037911018663497	Action Adventure Comedy Fantasy Romance
679	Blade Runner (1982)	4.169871794871795	156	4.0327655229726265	Action Sci-Fi Thriller
